"a","e","h","s","g","l","m","label","phrase"
0.166666666666667,0,0,0,0.166666666666667,0.166666666666667,0,"A","Gnarly"
0,0,0,0,0.25,0,0,"A","Going off"
0.125,0,0,0,0.125,0,0,"A","Good On Ya"
0.333333333333333,0,0.111111111111111,0,0,0,0,"A","Hard yakka"
0.2,0.2,0.2,0.2,0,0,0,"A","Heaps"
0,0,0.25,0,0,0,0,"A","Hoon"
0,0,0,0,0,0,0,"A","Iffy"
0.2,0,0,0,0,0.2,0,"A","Lappy"
0.125,0,0,0,0,0.125,0,"A","Larrikin"
0.1,0.2,0.1,0.1,0,0,0.1,"A","Manchester"
0.25,0.25,0,0,0,0,0.25,"A","Mate"
0,0.166666666666667,0,0,0,0,0.166666666666667,"A","Mozzie"
0.285714285714286,0,0,0,0,0,0.142857142857143,"A","No Drama"
0,0.111111111111111,0,0.111111111111111,0,0,0,"A","No Worries"
0.125,0,0,0.125,0,0,0,"A","No Wuckas"
0.142857142857143,0,0,0,0,0,0,"A","Outback"
0,0.166666666666667,0,0,0,0,0,"A","Reckon"
0,0.333333333333333,0,0,0,0.333333333333333,0,"A","Rellie"
0,0.166666666666667,0,0,0,0,0,"A","Ripper"
0,0.142857142857143,0,0.142857142857143,0,0,0,"A","Runners"
0.166666666666667,0.166666666666667,0,0.166666666666667,0.166666666666667,0,0,"A","Sanger"
0,0.2,0,0.2,0,0,0,"A","Servo"
0,0.166666666666667,0,0.166666666666667,0,0,0,"A","Sickie"
0.25,0,0,0.25,0.25,0,0,"A","Snag"
0,0.166666666666667,0,0.166666666666667,0,0,0,"A","Stoked"
0.333333333333333,0,0,0.166666666666667,0,0,0,"A","Straya"
0,0.142857142857143,0,0.285714285714286,0,0,0,"A","Sunnies"
0.25,0,0,0.25,0.25,0,0,"A","Swag"
0,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0,"A","Thongs"
0,0.25,0,0,0,0.125,0,"A","True Blue"
0,0.166666666666667,0,0,0,0,0,"A","Tucker"
0,0,0,0,0,0,0,"A","Two Up"
0,0,0,0,0,0,0,"A","Woop Woop"
0.5,0,0,0,0,0,0,"A","Ya"
0,0,0,0.25,0,0,0,"A","Yous"
